ID,Name,Position,SM,WF,Rating,Color,League,Club,Country,Age,Rarity,Foot,Attack WR,Defense WR,Cost
28,Diego Carlos,CB,3,4,83,gold,Premier League,Aston Villa,Brazil,29,Rare,Right,Med,High,1700
29,Coutinho,CAM,5,4,82,gold,Premier League,Aston Villa,Brazil,30,Rare,Right,High,Med,1400
30,Lucas Digne,LB,3,2,82,gold,Premier League,Aston Villa,France,29,Non Rare,Left,High,Med,1500
31,Emiliano Buendía,RM,4,4,80,gold,Premier League,Aston Villa,Argentina,26,Non Rare,Right,High,High,650
32,Boubacar Kamara,CDM,3,3,80,gold,Premier League,Aston Villa,France,23,Rare,Right,Med,High,700
33,Leon Bailey,RM,4,3,80,gold,Premier League,Aston Villa,Jamaica,25,Rare,Left,High,Low,700
34,John McGinn,CM,3,2,79,gold,Premier League,Aston Villa,Scotland,28,Non Rare,Left,High,High,550
35,Ezri Konsa,CB,2,3,79,gold,Premier League,Aston Villa,England,25,Rare,Right,Med,Med,700
36,Danny Ings,ST,3,3,79,gold,Premier League,Aston Villa,England,30,Non Rare,Right,High,Med,1300
37,Matty Cash,RB,3,2,79,gold,Premier League,Aston Villa,Poland,25,Non Rare,Right,High,Med,700
38,Ollie Watkins,ST,3,4,78,gold,Premier League,Aston Villa,England,27,Rare,Right,High,High,700
39,Douglas Luiz,CDM,3,2,78,gold,Premier League,Aston Villa,Brazil,24,Non Rare,Right,High,Med,650
40,Tyrone Mings,CB,3,2,78,gold,Premier League,Aston Villa,England,29,Non Rare,Left,High,Med,500
41,Frédéric Guilbert,RWB,3,3,78,gold,Premier League,Aston Villa,France,28,Non Rare,Right,High,Med,900
42,Ludwig Augustinsson,LB,3,2,77,gold,Premier League,Aston Villa,Sweden,28,Non Rare,Left,High,Med,700
43,Morgan Sanson,CM,4,4,76,gold,Premier League,Aston Villa,France,28,Non Rare,Right,Med,Med,700
44,Leander Dendoncker,CM,2,4,76,gold,Premier League,Aston Villa,Belgium,27,Non Rare,Right,High,High,650
45,Jan Bednarek,CB,2,2,76,gold,Premier League,Aston Villa,Poland,26,Non Rare,Right,Med,High,650
46,Robin Olsen,GK,1,2,75,gold,Premier League,Aston Villa,Sweden,33,Non Rare,Right,Med,Med,650
47,Calum Chambers,CB,2,3,75,gold,Premier League,Aston Villa,England,28,Non Rare,Right,Low,High,600
48,Jacob Ramsey,CM,3,4,75,gold,Premier League,Aston Villa,England,21,Rare,Right,High,Med,700
49,Marvelous Nakamba,CDM,3,2,75,gold,Premier League,Aston Villa,Zimbabwe,29,Non Rare,Left,Low,High,650
50,Ashley Young,LM,4,3,74,silver,Premier League,Aston Villa,England,37,Rare,Right,High,Med,800
51,Jed Steer,GK,1,2,71,silver,Premier League,Aston Villa,England,30,Non Rare,Left,Med,Med,650
52,Cameron Archer,ST,2,4,70,silver,Premier League,Aston Villa,England,21,Non Rare,Right,High,Low,700
53,Joshua Feeney,CB,2,3,55,bronze,Premier League,Aston Villa,England,17,Rare,Right,Med,Med,600
54,Ben Brereton,ST,3,3,75,gold,EFL Championship (ENG 2),Blackburn Rovers,Chile,23,Non Rare,Right,High,Med,600
55,Lewis Travis,CDM,3,3,73,silver,EFL Championship (ENG 2),Blackburn Rovers,England,25,Rare,Right,Med,High,700
56,Thomas Kaminski,GK,1,3,73,silver,EFL Championship (ENG 2),Blackburn Rovers,Belgium,30,Rare,Right,Med,Med,600
57,Bradley Dack,CAM,4,4,72,silver,EFL Championship (ENG 2),Blackburn Rovers,England,29,Rare,Right,High,Med,650
58,Scott Wharton,CB,2,3,71,silver,EFL Championship (ENG 2),Blackburn Rovers,England,25,Non Rare,Left,Low,High,650
59,Dominic Hyam,CB,2,3,71,silver,EFL Championship (ENG 2),Blackburn Rovers,Scotland,27,Non Rare,Right,Med,Med,550
60,John Buckley,CAM,3,4,71,silver,EFL Championship (ENG 2),Blackburn Rovers,England,23,Rare,Right,High,High,600
61,Ryan Hedges,RW,3,3,70,silver,EFL Championship (ENG 2),Blackburn Rovers,Wales,27,Non Rare,Left,Med,Med,600
62,Daniel Sánchez Ayala,CB,2,3,70,silver,EFL Championship (ENG 2),Blackburn Rovers,Spain,32,Non Rare,Right,Med,Med,600
63,Sam Gallagher,ST,3,3,70,silver,EFL Championship (ENG 2),Blackburn Rovers,England,27,Non Rare,Right,High,High,700
64,Tyrhys Dolan,RW,4,3,70,silver,EFL Championship (ENG 2),Blackburn Rovers,England,21,Non Rare,Right,High,Med,650
65,Callum Brittain,RWB,3,4,69,silver,EFL Championship (ENG 2),Blackburn Rovers,England,24,Non Rare,Right,High,Med,650
66,Harry Pickering,LWB,2,2,69,silver,EFL Championship (ENG 2),Blackburn Rovers,England,24,Non Rare,Left,High,Med,600
67,Tayo Edun,LWB,2,3,67,silver,EFL Championship (ENG 2),Blackburn Rovers,England,24,Non Rare,Left,Med,Med,550
68,Sammie Szmodics,CAM,3,4,67,silver,EFL Championship (ENG 2),Blackburn Rovers,Republic of Ireland,27,Non Rare,Right,High,Med,600
69,George Hirst,ST,3,3,67,silver,EFL Championship (ENG 2),Blackburn Rovers,England,23,Non Rare,Right,High,Med,650
70,Joe Rankin-Costello,RWB,3,4,66,silver,EFL Championship (ENG 2),Blackburn Rovers,England,23,Non Rare,Right,High,High,600
71,Hayden Carter,CB,2,3,66,silver,EFL Championship (ENG 2),Blackburn Rovers,England,23,Non Rare,Right,Med,Med,600
72,Aynsley Pears,GK,1,2,65,silver,EFL Championship (ENG 2),Blackburn Rovers,England,24,Non Rare,Right,Med,Med,550
73,Clinton Mola,LB,2,3,65,silver,EFL Championship (ENG 2),Blackburn Rovers,England,21,Non Rare,Left,Med,Med,700
74,Tyler Morton,CDM,2,3,64,bronze,EFL Championship (ENG 2),Blackburn Rovers,England,20,Rare,Right,Med,Med,400
75,Jake Garrett,CDM,2,4,63,bronze,EFL Championship (ENG 2),Blackburn Rovers,England,19,Non Rare,Left,Med,High,200
76,Dilan Markanday,RW,3,3,62,bronze,EFL Championship (ENG 2),Blackburn Rovers,England,21,Non Rare,Right,High,Med,200
77,Daniel Pike,RWB,2,3,62,bronze,EFL Championship (ENG 2),Blackburn Rovers,England,21,Non Rare,Right,Med,High,200
78,Jack Vale,ST,3,4,61,bronze,EFL Championship (ENG 2),Blackburn Rovers,Wales,21,Non Rare,Right,Med,Low,200
79,Ashley Phillips,CB,2,3,59,bronze,EFL Championship (ENG 2),Blackburn Rovers,England,17,Non Rare,Right,Med,High,200
80,Harry Leonard,ST,2,4,59,bronze,EFL Championship (ENG 2),Blackburn Rovers,England,19,Non Rare,Right,High,Low,200
81,Louie Annesley,CB,2,3,59,bronze,EFL Championship (ENG 2),Blackburn Rovers,Gibraltar,22,Non Rare,Right,Med,Med,350
82,Sam Barnes,CB,2,3,59,bronze,EFL Championship (ENG 2),Blackburn Rovers,England,21,Non Rare,Right,Med,Med,200
83,Adam Wharton,CM,2,4,59,bronze,EFL Championship (ENG 2),Blackburn Rovers,England,18,Non Rare,Left,High,Low,200
84,Ethan Walker,LM,2,3,57,bronze,EFL Championship (ENG 2),Blackburn Rovers,England,20,Non Rare,Right,High,Med,200
85,Joe Hilton,GK,1,3,57,bronze,EFL Championship (ENG 2),Blackburn Rovers,England,23,Non Rare,Right,Med,Med,200
86,Dapo Afolayan,LW,3,4,68,silver,EFL League One (ENG 3),Bolton,England,25,Non Rare,Right,Med,High,700
87,Jón Daði Böðvarsson,ST,3,4,67,silver,EFL League One (ENG 3),Bolton,Iceland,30,Non Rare,Right,High,High,600
88,Ricardo Almeida Santos,CB,2,3,67,silver,EFL League One (ENG 3),Bolton,Portugal,27,Rare,Right,High,Med,650
89,Kyle Dempsey,CM,3,3,66,silver,EFL League One (ENG 3),Bolton,England,27,Non Rare,Right,High,Med,650
90,Kieran Lee,CM,3,2,66,silver,EFL League One (ENG 3),Bolton,England,34,Non Rare,Right,Med,Med,650
91,Declan John,LWB,3,2,66,silver,EFL League One (ENG 3),Bolton,Wales,27,Rare,Left,Med,Med,600
92,Dion Charles,ST,2,4,66,silver,EFL League One (ENG 3),Bolton,Northern Ireland,27,Non Rare,Right,High,High,600
93,Josh Sheehan,CM,3,3,66,silver,EFL League One (ENG 3),Bolton,Wales,27,Rare,Right,Med,Med,700
94,George Johnston,CB,2,2,65,silver,EFL League One (ENG 3),Bolton,Scotland,24,Non Rare,Left,High,Med,600
95,Aaron Morley,CM,2,3,65,silver,EFL League One (ENG 3),Bolton,England,22,Non Rare,Right,Med,Med,750
96,Kieran Sadlier,RWB,3,4,65,silver,EFL League One (ENG 3),Bolton,Republic of Ireland,28,Non Rare,Right,High,Low,600
97,Amadou Bakayoko,ST,3,3,65,silver,EFL League One (ENG 3),Bolton,Sierra Leone,27,Non Rare,Left,Med,High,650
98,Elias Kachunga,RW,3,2,64,bronze,EFL League One (ENG 3),Bolton,Congo DR,30,Rare,Right,High,Med,350
99,James Trafford,GK,1,2,64,bronze,EFL League One (ENG 3),Bolton,England,20,Rare,Right,Med,Med,450
100,Jack Iredale,CB,2,3,64,bronze,EFL League One (ENG 3),Bolton,Australia,26,Rare,Left,High,Med,450
101,Jordan Williams,CDM,2,3,64,bronze,EFL League One (ENG 3),Bolton,Wales,27,Rare,Right,Med,High,450
102,Lloyd Isgrove,RW,3,3,64,bronze,EFL League One (ENG 3),Bolton,Wales,30,Rare,Right,Med,High,300
103,Will Aimson,CB,2,2,63,bronze,EFL League One (ENG 3),Bolton,England,28,Non Rare,Right,Low,Med,350
104,Gethin Jones,CB,2,3,63,bronze,EFL League One (ENG 3),Bolton,Wales,27,Non Rare,Right,High,Med,200
105,Conor Bradley,RWB,2,2,62,bronze,EFL League One (ENG 3),Bolton,Northern Ireland,19,Non Rare,Right,High,Med,850
106,George Thomason,CM,2,2,62,bronze,EFL League One (ENG 3),Bolton,England,22,Non Rare,Left,High,High,750
107,Eoin Toal,CB,2,3,62,bronze,EFL League One (ENG 3),Bolton,Northern Ireland,23,Non Rare,Right,Low,High,200
108,Joel Dixon,GK,1,3,62,bronze,EFL League One (ENG 3),Bolton,England,29,Non Rare,Right,Med,Med,400
109,Owen Beck,LB,2,2,61,bronze,EFL League One (ENG 3),Bolton,Wales,20,Non Rare,Left,High,Med,200
110,N'Golo Kanté,CDM,2,3,89,gold,Premier League,Chelsea,France,31,Rare,Right,Med,High,43500
111,Kalidou Koulibaly,CB,2,4,87,gold,Premier League,Chelsea,Senegal,31,Rare,Right,Med,High,22750
112,Édouard Mendy,GK,1,2,86,gold,Premier League,Chelsea,Senegal,30,Rare,Right,Med,Med,17500
113,Thiago Silva,CB,2,3,86,gold,Premier League,Chelsea,Brazil,38,Rare,Right,Med,High,17500
114,Raheem Sterling,LW,4,3,86,gold,Premier League,Chelsea,England,28,Rare,Right,High,Med,17250
115,Aubameyang,ST,4,4,85,gold,Premier League,Chelsea,Gabon,33,Rare,Right,High,Low,12500
116,Jorginho,CM,3,3,85,gold,Premier League,Chelsea,Italy,31,Rare,Right,Med,Med,12500
117,Kai Havertz,CAM,4,4,84,gold,Premier League,Chelsea,Germany,23,Rare,Left,Med,Med,4800
118,Mason Mount,CAM,3,4,84,gold,Premier League,Chelsea,England,24,Rare,Right,High,High,4800
119,Mateo Kovacic,CM,4,4,84,gold,Premier League,Chelsea,Croatia,28,Rare,Right,High,High,4700
120,Reece James,RWB,3,3,84,gold,Premier League,Chelsea,England,23,Rare,Right,High,Med,4800
121,Hakim Ziyech,RW,5,2,83,gold,Premier League,Chelsea,Morocco,29,Rare,Left,High,High,1700
122,Christian Pulisic,LW,4,4,82,gold,Premier League,Chelsea,United States,24,Rare,Right,Med,Med,1500
123,Ben Chilwell,LWB,3,3,82,gold,Premier League,Chelsea,England,26,Rare,Left,High,Med,1000
124,Azpilicueta,CB,2,3,82,gold,Premier League,Chelsea,Spain,33,Non Rare,Right,Med,Med,1200
125,Denis Zakaria,CDM,3,3,81,gold,Premier League,Chelsea,Switzerland,26,Rare,Right,High,High,950
126,Cucurella,LB,3,3,81,gold,Premier League,Chelsea,Spain,24,Non Rare,Left,High,High,900
127,Kepa Arrizabalaga,GK,1,4,80,gold,Premier League,Chelsea,Spain,28,Non Rare,Right,Med,Med,800
128,Wesley Fofana,CB,2,3,79,gold,Premier League,Chelsea,France,22,Rare,Right,Med,High,700
129,Conor Gallagher,CM,3,2,79,gold,Premier League,Chelsea,England,22,Non Rare,Right,High,High,700
130,Ruben Loftus-Cheek,CM,4,3,76,gold,Premier League,Chelsea,England,26,Non Rare,Right,Med,Med,700
131,Chalobah,CB,3,3,76,gold,Premier League,Chelsea,England,23,Non Rare,Right,Med,High,700
132,Armando Broja,ST,3,3,75,gold,Premier League,Chelsea,Albania,21,Non Rare,Right,Med,Low,650
133,Marcus Bettinelli,GK,1,3,70,silver,Premier League,Chelsea,England,30,Non Rare,Right,Med,Med,650
134,Carney Chukwuemeka,CM,4,4,64,bronze,Premier League,Chelsea,England,19,Rare,Right,Low,Low,700
135,Jordan Pickford,GK,1,4,82,gold,Premier League,Everton,England,28,Non Rare,Left,Med,Med,1100
136,Idrissa Gueye,CDM,3,3,82,gold,Premier League,Everton,Senegal,33,Rare,Right,Med,High,1100
137,Allan Marques Loureiro,CDM,4,3,80,gold,Premier League,Everton,Brazil,32,Rare,Right,Med,High,2700
138,Dominic Calvert-Lewin,ST,3,2,80,gold,Premier League,Everton,England,25,Non Rare,Right,High,Med,700
139,Abdoulaye Doucouré,CM,3,3,79,gold,Premier League,Everton,Mali,30,Non Rare,Right,High,High,650
140,Conor Coady,CB,2,3,79,gold,Premier League,Everton,England,29,Non Rare,Right,Low,High,650
141,James Tarkowski,CB,2,4,79,gold,Premier League,Everton,England,30,Non Rare,Right,Low,High,650
142,Michael Keane,CB,2,2,79,gold,Premier League,Everton,England,30,Non Rare,Right,Med,Med,650
143,Yerry Mina,CB,2,3,77,gold,Premier League,Everton,Colombia,28,Non Rare,Right,Med,High,700
144,Ben Godfrey,CB,2,3,77,gold,Premier League,Everton,England,25,Rare,Right,Med,High,700
145,Demarai Gray,LM,4,4,77,gold,Premier League,Everton,England,26,Rare,Right,High,Med,700
146,Vitaliy Mykolenko,LB,2,2,76,gold,Premier League,Everton,Ukraine,23,Non Rare,Left,High,Med,700
147,Dwight McNeil,LM,3,2,76,gold,Premier League,Everton,England,23,Non Rare,Left,Med,High,500
148,Neal Maupay,ST,3,4,76,gold,Premier League,Everton,France,26,Non Rare,Right,Med,Med,700
149,Andros Townsend,RM,4,4,76,gold,Premier League,Everton,England,31,Non Rare,Left,High,High,550
150,Séamus Coleman,RB,3,3,76,gold,Premier League,Everton,Republic of Ireland,34,Non Rare,Right,High,High,700
151,Mason Holgate,CB,3,3,75,gold,Premier League,Everton,England,26,Non Rare,Right,Med,Med,650
152,Asmir Begović,GK,1,2,75,gold,Premier League,Everton,Bosnia and Herzegovina,35,Non Rare,Right,Med,Med,600
153,Alex Iwobi,RM,4,3,75,gold,Premier League,Everton,Nigeria,26,Non Rare,Right,High,Med,500
154,Tom Davies,CM,3,3,75,gold,Premier League,Everton,England,24,Non Rare,Right,Med,Med,800
155,Anthony Gordon,LM,3,3,75,gold,Premier League,Everton,England,21,Non Rare,Right,High,Med,500
156,Salomón Rondón,ST,3,4,74,silver,Premier League,Everton,Venezuela,33,Rare,Right,Med,Low,650
157,Amadou Onana,CDM,3,4,74,silver,Premier League,Everton,Belgium,21,Rare,Right,Med,High,700
158,Rúben Vinagre,LWB,4,2,73,silver,Premier League,Everton,Portugal,23,Rare,Left,High,Med,700
159,James Garner,CDM,3,3,72,silver,Premier League,Everton,England,21,Non Rare,Right,High,High,650
160,Nathan Patterson,RB,2,3,66,silver,Premier League,Everton,Scotland,21,Non Rare,Right,High,High,850
161,Kyle John,RB,2,2,64,bronze,Premier League,Everton,England,21,Rare,Right,High,Med,650
162,Andy Lonergan,GK,1,1,62,bronze,Premier League,Everton,England,39,Rare,Left,Med,Med,600
163,Reece Welch,CB,2,3,53,bronze,Premier League,Everton,England,19,Rare,Right,Med,Med,500
164,Isaac Price,CM,2,2,50,bronze,Premier League,Everton,Northern Ireland,19,Non Rare,Right,Med,Med,600
165,Luis Sinisterra,LW,4,4,80,gold,Premier League,Leeds United,Colombia,23,Rare,Right,High,High,700
166,Patrick Bamford,ST,3,3,78,gold,Premier League,Leeds United,England,29,Non Rare,Left,High,High,650
167,Rasmus Kristensen,RB,3,4,77,gold,Premier League,Leeds United,Denmark,25,Rare,Right,High,High,700
168,Rodrigo,CAM,4,3,77,gold,Premier League,Leeds United,Spain,31,Non Rare,Left,High,Med,1300
169,Jack Harrison,LM,4,3,77,gold,Premier League,Leeds United,England,26,Non Rare,Left,High,High,500
170,Illan Meslier,GK,1,3,77,gold,Premier League,Leeds United,France,22,Non Rare,Left,Med,Med,600
171,Diego Llorente,CB,2,3,76,gold,Premier League,Leeds United,Spain,29,Non Rare,Right,Med,High,650
172,Tyler Adams,CDM,3,3,76,gold,Premier League,Leeds United,United States,23,Rare,Right,High,High,700
173,Liam Cooper,CB,2,2,76,gold,Premier League,Leeds United,Scotland,31,Non Rare,Left,Low,High,600
174,Pascal Struijk,CB,2,4,76,gold,Premier League,Leeds United,Netherlands,23,Non Rare,Left,Med,High,650
175,Robin Koch,CB,2,4,76,gold,Premier League,Leeds United,Germany,26,Non Rare,Right,Med,High,650
176,Marc Roca Junqué,CDM,3,3,76,gold,Premier League,Leeds United,Spain,26,Non Rare,Left,Med,Med,600
177,Luke Ayling,RB,3,3,75,gold,Premier League,Leeds United,England,31,Non Rare,Right,High,High,700
178,Joel Robles Blázquez,GK,1,2,75,gold,Premier League,Leeds United,Spain,32,Non Rare,Right,Med,Med,600
179,Junior Firpo,LB,3,3,75,gold,Premier League,Leeds United,Spain,26,Non Rare,Left,Med,Med,700
180,Stuart Dallas,CM,3,4,75,gold,Premier League,Leeds United,Northern Ireland,31,Non Rare,Right,High,High,700
181,Mateusz Klich,CM,3,3,74,silver,Premier League,Leeds United,Poland,32,Rare,Right,High,High,1400
182,Brenden Aaronson,CAM,3,3,74,silver,Premier League,Leeds United,United States,22,Rare,Right,High,High,1500
183,Adam Forshaw,CDM,3,3,73,silver,Premier League,Leeds United,England,31,Rare,Right,Med,High,700
184,Joe Gelhardt,ST,3,3,72,silver,Premier League,Leeds United,England,20,Rare,Left,High,High,850
185,Crysencio Summerville,RM,3,3,69,silver,Premier League,Leeds United,Netherlands,21,Rare,Right,High,Low,1000
186,Wilfried Gnonto,ST,3,3,69,silver,Premier League,Leeds United,Italy,19,Rare,Right,Med,Med,900
187,Cody Drameh,RWB,2,3,68,silver,Premier League,Leeds United,England,21,Non Rare,Right,High,Med,650
188,Sam Greenwood,CAM,3,5,67,silver,Premier League,Leeds United,England,20,Non Rare,Right,High,Med,1200
189,Leo Hjelde,CB,2,3,65,silver,Premier League,Leeds United,Norway,19,Non Rare,Left,Med,Med,900
190,Kristoffer Klaesson,GK,1,2,65,silver,Premier League,Leeds United,Norway,22,Non Rare,Left,Med,Med,650
191,Sonny Perkins,ST,3,3,58,bronze,Premier League,Leeds United,England,18,Non Rare,Left,Med,Low,450
192,Darko Gyabi,CM,2,3,57,bronze,Premier League,Leeds United,England,18,Rare,Right,High,High,800
193,Mohamed Salah,RW,4,3,90,gold,Premier League,Liverpool,Egypt,30,Rare,Left,High,Med,57000
194,Virgil van Dijk,CB,2,3,90,gold,Premier League,Liverpool,Netherlands,31,Rare,Right,Med,High,57500
195,Alisson,GK,1,3,89,gold,Premier League,Liverpool,Brazil,30,Rare,Right,Med,Med,45000
196,Trent Alexander-Arnold,RB,3,4,87,gold,Premier League,Liverpool,England,24,Rare,Right,High,Med,22750
197,Andrew Robertson,LB,3,2,87,gold,Premier League,Liverpool,Scotland,28,Rare,Left,High,High,23000
198,Fabinho,CDM,3,2,87,gold,Premier League,Liverpool,Brazil,29,Rare,Right,Med,High,23000
199,Thiago,CM,5,3,86,gold,Premier League,Liverpool,Spain,31,Rare,Right,Med,Med,17750
200,Diogo Jota,CF,4,5,85,gold,Premier League,Liverpool,Portugal,26,Rare,Right,High,High,12500
201,Joel Matip,CB,2,2,84,gold,Premier League,Liverpool,Cameroon,31,Rare,Right,Med,Med,4800
202,Luis Díaz,LW,4,4,84,gold,Premier League,Liverpool,Colombia,26,Rare,Right,High,Med,4700
203,Jordan Henderson,CM,3,3,83,gold,Premier League,Liverpool,England,32,Rare,Right,High,High,1700
204,Roberto Firmino,CF,5,4,83,gold,Premier League,Liverpool,Brazil,31,Rare,Right,High,High,2500
205,Darwin Núñez,ST,3,3,82,gold,Premier League,Liverpool,Uruguay,23,Rare,Right,High,High,1200
206,Ibrahima Konaté,CB,3,2,81,gold,Premier League,Liverpool,France,23,Rare,Right,Med,High,950
207,Naby Keïta,CM,4,4,81,gold,Premier League,Liverpool,Guinea,27,Rare,Right,Med,Med,750
208,Joe Gomez,CB,3,3,81,gold,Premier League,Liverpool,England,25,Rare,Right,Med,Med,1100
209,Arthur,CM,4,3,80,gold,Premier League,Liverpool,Brazil,26,Non Rare,Right,Med,Med,650
210,James Milner,CM,3,4,78,gold,Premier League,Liverpool,England,37,Non Rare,Right,Med,High,750
211,Oxlade-Chamberlain,CM,4,4,77,gold,Premier League,Liverpool,England,29,Rare,Right,High,High,750
212,Konstantinos Tsimikas,LB,3,3,77,gold,Premier League,Liverpool,Greece,26,Non Rare,Left,High,High,700
213,Curtis Jones,CM,4,4,76,gold,Premier League,Liverpool,England,21,Non Rare,Right,High,Med,700
214,Caoimhin Kelleher,GK,1,3,73,silver,Premier League,Liverpool,Republic of Ireland,24,Rare,Right,Med,Med,900
215,Nathaniel Phillips,CB,2,2,73,silver,Premier League,Liverpool,England,25,Rare,Right,Low,Med,700
216,Harvey Elliott,CAM,4,4,73,silver,Premier League,Liverpool,England,19,Rare,Left,Med,Med,1400
217,Fabio Carvalho,CAM,3,4,73,silver,Premier League,Liverpool,Portugal,20,Rare,Right,High,Med,1300
218,Adrián,GK,1,2,72,silver,Premier League,Liverpool,Spain,36,Non Rare,Right,Med,Med,750
219,Calvin Ramsay,RB,2,3,64,bronze,Premier League,Liverpool,Scotland,19,Rare,Right,High,Med,650
220,Kaide Gordon,RW,3,3,62,bronze,Premier League,Liverpool,England,18,Non Rare,Left,High,Med,1400
221,Jake Cain,CM,3,3,62,bronze,Premier League,Liverpool,England,21,Non Rare,Right,Med,High,2100
222,James Norris,LB,2,3,60,bronze,Premier League,Liverpool,England,19,Non Rare,Left,High,Med,950
223,Kevin De Bruyne,CM,4,5,92,gold,Premier League,Manchester City,Belgium,31,TOTW,Right,High,High,359000
224,Kevin De Bruyne,CM,4,5,91,gold,Premier League,Manchester City,Belgium,31,Rare,Right,High,High,66000
225,Ederson,GK,1,3,89,gold,Premier League,Manchester City,Brazil,29,Rare,Left,Med,Med,44500
226,Erling Haaland,ST,3,3,88,gold,Premier League,Manchester City,Norway,22,Rare,Left,High,Med,30750
227,Bernardo Silva,CAM,4,3,88,gold,Premier League,Manchester City,Portugal,28,Rare,Left,High,High,31500
228,Rúben Dias,CB,2,4,88,gold,Premier League,Manchester City,Portugal,25,Rare,Right,Med,High,30500
229,João Cancelo,LB,4,4,88,gold,Premier League,Manchester City,Portugal,28,Rare,Right,High,Med,31500
230,Rodrigo,CDM,3,4,87,gold,Premier League,Manchester City,Spain,26,Rare,Right,Med,High,30500
231,Riyad Mahrez,RW,5,4,86,gold,Premier League,Manchester City,Algeria,31,Rare,Left,Med,Med,17000
232,Aymeric Laporte,CB,2,3,86,gold,Premier League,Manchester City,Spain,28,Rare,Left,Med,Med,17250
233,Phil Foden,LW,4,3,85,gold,Premier League,Manchester City,England,22,Rare,Left,High,High,12500
234,Ilkay Gündogan,CM,4,4,85,gold,Premier League,Manchester City,Germany,32,Rare,Right,High,Med,12250
235,Kyle Walker,RB,3,2,85,gold,Premier League,Manchester City,England,32,Rare,Right,High,High,17000
236,Jack Grealish,LW,4,3,84,gold,Premier League,Manchester City,England,27,Rare,Right,High,Med,5000
237,John Stones,CB,3,4,83,gold,Premier League,Manchester City,England,28,Rare,Right,High,Med,1600
238,Manuel Akanji,CB,2,4,81,gold,Premier League,Manchester City,Switzerland,27,Rare,Right,Med,Med,700
239,Kalvin Phillips,CDM,3,3,81,gold,Premier League,Manchester City,England,27,Rare,Right,Med,High,700
240,Stefan Ortega,GK,1,4,80,gold,Premier League,Manchester City,Germany,30,Rare,Right,Med,Med,700
241,Julián Álvarez,ST,4,4,78,gold,Premier League,Manchester City,Argentina,22,Rare,Right,High,High,700
242,Nathan Aké,CB,2,3,78,gold,Premier League,Manchester City,Netherlands,27,Rare,Left,Med,High,700
