"Name","Rating","Rarity","Preferred Position","Nation","League","Team","Price Limits","Last Sale Price","Discard Value","Contract","Untradeable","Loans","DefinitionId","IsDuplicate","IsInActive11","Alternate Positions","ExternalPrice"
"van der Sar","88","Icon","GK","Netherlands","Icons","ICON","Min:66000 Max:700000","0","0","7","true","false","51539","false","true","GK","384000"
"Krieger","88","End Of An Era","CB","United States","NWSL","NJ/NY Gotham","Min:150 Max:10000","0","0","7","true","false","50557973","false","false","CB,CDM","48250"
"Thiago","87","Triple Threat","CM","Spain","Premier League","Liverpool","Min:10750 Max:50000","0","0","7","true","true","50521157","false","false","CM","36750"
"Williamson","87","Centurions","CB","England","Barclays WSL","Arsenal","Min:10750 Max:50000","0","0","7","true","false","50578074","false","false","CB,CDM","30250"
"Kobel","87","Rare","GK","Switzerland","Bundesliga","Borussia Dortmund","Min:5100 Max:27500","0","0","7","true","false","235073","false","false","GK","12250"
"Sandra Paños","87","Rare","GK","Spain","Liga F","FC Barcelona","Min:5100 Max:27500","0","0","7","true","false","227776","false","false","GK","12250"
"Zakaria","87","Winter Wildcards","CDM","Switzerland","Ligue 1 Uber Eats","AS Monaco","Min:10750 Max:190000","0","0","7","true","false","50560909","false","false","CDM,CM","13500"
"Oberdorf","87","Rare","CDM","Germany","GPFBL","VfL Wolfsburg","Min:5100 Max:27500","0","0","7","true","false","248717","false","false","CB,CDM","12000"
"Mead","87","Rare","RW","England","Barclays WSL","Arsenal","Min:5100 Max:27500","0","0","7","true","false","245802","false","false","RM,RW,LW","11500"
"Bronze","87","Rare","RB","England","Liga F","FC Barcelona","Min:5100 Max:27500","0","0","7","true","false","227246","false","false","RWB,RB","12250"
"Szczęsny","86","Rare","GK","Poland","Serie A TIM","Juventus","Min:3600 Max:18000","0","0","2","true","true","186153","false","false","GK","8200"
"Szoboszlai","86","Radioactive","CM","Hungary","Premier League","Liverpool","Min:10500 Max:170000","0","0","7","true","true","67345636","false","false","CM,CAM","105000"
"Kvaratskhelia","86","Rare","LW","Georgia","Serie A TIM","Napoli FC","Min:3600 Max:18000","0","0","7","true","true","247635","false","false","LM,RW,LW","8200"
"Phillips","86","FC Pro Live","CDM","England","Premier League","Manchester City","Min:12500 Max:240000","0","0","7","true","true","50555729","false","false","CDM,CM","42500"
"Little","86","Rare","CM","Scotland","Barclays WSL","Arsenal","Min:3600 Max:18000","0","0","7","true","true","245872","false","false","CDM,CM,CAM","8200"
"Garnacho Ferreyra","86","Team of the Week","LM","Argentina","Premier League","Manchester Utd","Min:10500 Max:70000","0","0","7","true","false","50600086","false","false","LM,LW","48000"
"Williamson","85","Rare","CB","England","Barclays WSL","Arsenal","Min:2100 Max:10000","0","0","6","true","true","246426","false","false","CB,CDM","5600"
"Vela","85","Radioactive","RW","Mexico","MLS","LAFC","Min:10500 Max:32500","0","0","0","true","true","50501064","false","false","RM,RW,ST,LW","10750"
"Dumfries","85","Winter Wildcards","RWB","Netherlands","Serie A TIM","Inter","Min:15000 Max:290000","0","0","2","true","true","50564744","false","false","RWB,RB,RM","15250"
"Varane","85","Rare","CB","France","Premier League","Manchester Utd","Min:2100 Max:12000","6300","604","5","false","false","201535","false","true","CB","12000"
"Malard","85","Team of the Week","LW","France","Barclays WSL","Manchester Utd","Min:10500 Max:65000","0","0","7","true","false","84144786","false","false","LM,ST,LW","39750"
"Eze","85","Winter Wildcards","CAM","England","Premier League","Crystal Palace","Min:12500 Max:240000","0","0","7","true","false","50567442","false","false","CM,CAM,LW","12750"
"Correa","85","Centurions","ST","Argentina","LALIGA EA SPORTS","Atlético de Madrid","Min:10500 Max:35000","0","0","7","true","false","50546645","false","false","RM,CF,ST","12750"
"Walker","84","Rare","RB","England","Premier League","Manchester City","Min:1300 Max:23000","14000","596","27","false","false","188377","false","true","RWB,RB","0"
"Lukaku","84","Rare","ST","Belgium","Serie A TIM","Roma FC","Min:1100 Max:10000","0","0","7","true","false","50524153","false","false","CF,ST","2600"
"James","84","Rare","RB","England","Premier League","Chelsea","Min:1100 Max:10000","0","0","7","true","false","238074","false","false","RWB,RB","3000"
"Koke","84","Rare","CDM","Spain","LALIGA EA SPORTS","Atlético de Madrid","Min:1100 Max:10000","0","0","7","true","false","193747","false","false","CDM,CM","2600"
"Gnabry","84","Rare","RM","Germany","Bundesliga","FC Bayern München","Min:1100 Max:10000","0","0","7","true","false","206113","false","false","RM,LM,RW,ST","2700"
"Foord","84","Rare","LW","Australia","Barclays WSL","Arsenal","Min:1100 Max:10000","0","0","7","true","false","227110","false","false","LM,CAM,RW,LW","2600"
"Catarina Macario","84","Rare","CAM","United States","Barclays WSL","Chelsea","Min:1100 Max:10000","0","0","7","true","false","262330","false","false","CM,CAM,ST","2700"
"Thiago","84","Rare","CM","Spain","Premier League","Liverpool","Min:1100 Max:10000","0","0","7","true","false","189509","false","false","CM","2600"
"Tchouaméni","84","Rare","CDM","France","LALIGA EA SPORTS","Real Madrid","Min:1100 Max:10000","0","0","7","true","false","241637","false","false","CDM,CM","2700"
"Smalling","84","Rare","CB","England","Serie A TIM","Roma FC","Min:1100 Max:10000","0","0","7","true","false","189881","false","false","CB","2800"
"Hernández","84","Rare","CB","France","Ligue 1 Uber Eats","Paris SG","Min:1100 Max:10000","0","0","7","true","false","220814","false","false","CB,LB","2700"
"Ginter","84","Rare","CB","Germany","Bundesliga","SC Freiburg","Min:1100 Max:10000","0","0","7","true","false","207862","false","false","CB","2600"
"Rabiot","84","Rare","CM","France","Serie A TIM","Juventus","Min:1100 Max:10000","0","0","7","true","false","210008","false","false","CM,LM","2700"
"Ostermeier","83","Team of the Week","LB","Germany","GPFBL","SGS Essen","Min:10250 Max:45000","0","10126","7","false","false","50596695","false","false","CB,LB,LWB","36000"
"Eriksen","83","Rare","CM","Denmark","Premier League","Manchester Utd","Min:850 Max:10000","0","589","7","false","false","190460","false","false","CDM,CM","1000"
"Rauch","83","Rare","LB","Germany","GPFBL","VfL Wolfsburg","Min:850 Max:10000","0","0","7","true","false","233838","false","false","LB,LWB","1000"
"Toone","83","Rare","CAM","England","Barclays WSL","Manchester Utd","Min:850 Max:10000","0","0","7","true","false","263011","false","false","CM,CAM","1300"
"Rodríguez","83","Rare","CDM","Argentina","LALIGA EA SPORTS","Real Betis","Min:850 Max:10000","0","0","7","true","false","225659","false","false","CDM","1000"
"Schmidt","83","Rare","CM","Canada","NWSL","Houston Dash","Min:850 Max:10000","0","0","7","true","false","227405","false","false","CDM,CM","1000"
"Páez Gavira","83","Rare","CM","Spain","LALIGA EA SPORTS","FC Barcelona","Min:850 Max:10000","0","0","7","true","false","264240","false","false","CM,LW","1100"
"Brozović","83","Rare","CDM","Croatia","ROSHN Saudi League","Al Nassr","Min:850 Max:10000","0","0","7","true","false","216352","false","false","CDM","1100"
"Galton","83","Rare","LM","England","Barclays WSL","Manchester Utd","Min:850 Max:10000","0","0","7","true","false","265275","false","false","LM,CAM,LW","1000"
"Kostić","83","Rare","LM","Serbia","Serie A TIM","Juventus","Min:850 Max:10000","0","0","7","true","false","208574","false","false","LM,LW","1600"
"Ludmila","83","Rare","ST","Brazil","Liga F","Atlético de Madrid","Min:850 Max:10000","0","0","7","true","false","241023","false","false","CF,RW,ST","1000"
"Haller","83","Rare","ST","Ivory Coast","Bundesliga","Borussia Dortmund","Min:850 Max:10000","0","0","7","true","false","205693","false","false","CF,ST","1000"
"Girotto","83","SQUAD FOUNDATIONS","CB","Brazil","ROSHN Saudi League","Al Taawoun","Min:1000 Max:10000","0","0","7","true","false","50558163","false","false","CB,CDM","0"
"Džeko","83","Rare","ST","Bosnia Herzegovina","Trendyol Süper Lig","Fenerbahçe","Min:850 Max:10000","0","0","7","true","false","180930","false","false","CF,ST","1000"
"Spitse","83","Rare","CDM","Netherlands","Nederland Vrouwen Liga","Ajax","Min:850 Max:10000","0","0","7","true","false","233747","false","false","CDM,CM","1100"
"Carpenter","83","Rare","RB","Australia","D1 Arkema","OL","Min:850 Max:10000","0","0","7","true","false","240030","false","false","RWB,RB","1400"
"Di María","83","Rare","CF","Argentina","Liga Portugal","SL Benfica","Min:850 Max:10000","0","0","7","true","false","183898","false","false","RM,CF,RW,ST","1300"
"Hegering","83","Rare","CB","Germany","GPFBL","VfL Wolfsburg","Min:850 Max:10000","0","0","7","true","false","248715","false","false","CB","1000"
"Schlotterbeck","83","Rare","CB","Germany","Bundesliga","Borussia Dortmund","Min:850 Max:12000","0","0","7","true","false","247819","false","false","CB","1800"
"Asensio Willemsen","83","Rare","RW","Spain","Ligue 1 Uber Eats","Paris SG","Min:850 Max:10000","0","0","7","true","false","220834","false","false","RM,RW","1100"
"Gwinn","83","Rare","LB","Germany","GPFBL","FC Bayern München","Min:850 Max:10000","0","0","7","true","false","247788","false","false","RB,LB,LWB","1000"
"Busquets Burgos","83","Rare","CDM","Spain","MLS","Inter Miami CF","Min:850 Max:10000","0","0","7","true","false","189511","false","false","CDM","1200"
"Rosucci","83","Rare","CDM","Italy","Calcio A Femminile","Juventus","Min:850 Max:10000","0","0","7","true","false","227067","false","false","CB,CDM,CM","1200"
"Naeher","83","Rare","GK","United States","NWSL","Chicago Red Stars","Min:850 Max:10000","0","0","7","true","false","226335","false","false","GK","1200"
"Meret","83","Rare","GK","Italy","Serie A TIM","Napoli FC","Min:850 Max:10000","0","0","7","true","false","225116","false","false","GK","1100"
"Schick","83","Rare","ST","Czech Republic","Bundesliga","Leverkusen","Min:850 Max:10000","0","0","7","true","false","234236","false","false","CF,ST","1000"
"Oyarzabal Ugarte","83","Rare","LM","Spain","LALIGA EA SPORTS","Real Sociedad","Min:850 Max:10000","0","0","7","true","false","230142","false","false","RM,LM,LW","1300"
"Giménez","83","Rare","CB","Uruguay","LALIGA EA SPORTS","Atlético de Madrid","Min:850 Max:10000","0","0","7","true","false","216460","false","false","CB","1100"
"Simón Mendibil","83","Rare","GK","Spain","LALIGA EA SPORTS","Athletic Club","Min:850 Max:10000","0","0","7","true","false","230869","false","false","GK","1400"
"Laimer","83","Rare","CDM","Austria","Bundesliga","FC Bayern München","Min:850 Max:10000","0","0","7","true","false","225375","false","false","CDM,CM","1200"
"Sterling","83","Rare","LW","England","Premier League","Chelsea","Min:850 Max:10000","0","0","7","true","false","202652","false","false","LM,RW,ST,LW","1400"
"Peyraud-Magnin","83","Rare","GK","France","Calcio A Femminile","Juventus","Min:850 Max:10000","0","0","7","true","false","246178","false","false","GK","1000"
"Iglesias Quintás","83","Rare","ST","Spain","LALIGA EA SPORTS","Real Betis","Min:850 Max:10000","0","0","7","true","false","224179","false","false","CF,ST","1200"
"Filho Jorge","83","Rare","CDM","Italy","Premier League","Arsenal","Min:850 Max:10000","0","0","7","true","false","205498","false","false","CDM,CM","1000"
"Christensen","83","Rare","CB","Denmark","LALIGA EA SPORTS","FC Barcelona","Min:850 Max:10000","0","0","7","true","false","213661","false","false","CB","900"
"Botman","83","Rare","CB","Netherlands","Premier League","Newcastle Utd","Min:850 Max:10000","0","0","7","true","false","251809","false","false","CB","900"
"Palhinha","83","Rare","CDM","Portugal","Premier League","Fulham","Min:850 Max:10000","0","0","7","true","false","229391","false","false","CDM,CM","1100"
"Eriksson","83","Rare","CB","Sweden","GPFBL","FC Bayern München","Min:850 Max:10000","0","0","7","true","false","226998","false","false","CB,LB","1200"
"Sergi Darder","83","Rare","CM","Spain","LALIGA EA SPORTS","RCD Mallorca","Min:850 Max:10000","0","0","7","true","false","202648","false","false","CDM,CM,CAM","1500"
"Morata Martín","83","Rare","ST","Spain","LALIGA EA SPORTS","Atlético de Madrid","Min:850 Max:10000","0","0","7","true","false","201153","false","false","CF,ST","1300"
"Kundananji","83","Rare","ST","Zambia","Liga F","Madrid CFF","Min:850 Max:10000","0","0","7","true","false","272076","false","false","CF,ST","1600"
"Vlahović","83","Rare","ST","Serbia","Serie A TIM","Juventus","Min:850 Max:10000","0","0","7","true","false","246430","false","false","CF,ST","1100"
"Zambo Anguissa","83","Rare","CDM","Cameroon","Serie A TIM","Napoli FC","Min:850 Max:10000","0","0","7","true","false","227236","false","false","CDM,CM","1300"
"Torres García","82","Rare","LW","Spain","LALIGA EA SPORTS","FC Barcelona","Min:700 Max:10000","0","582","7","false","false","241461","false","false","LM,RW,ST,LW","750"
"Dimarco","82","Rare","LWB","Italy","Serie A TIM","Inter","Min:700 Max:10000","0","582","7","false","false","226268","false","false","CB,LB,LWB,LM","750"
"Werner","82","Rare","ST","Germany","Bundesliga","RB Leipzig","Min:700 Max:10000","0","582","7","false","false","212188","false","false","CF,ST","3600"
"Sembrant","82","Rare","CB","Sweden","Calcio A Femminile","Juventus","Min:700 Max:10000","0","582","7","false","false","226991","false","false","CB,CM","750"
"Mazraoui","82","Rare","RB","Morocco","Bundesliga","FC Bayern München","Min:700 Max:10000","0","582","7","false","false","236401","false","false","RWB,RB","750"
"Simon","82","Rare","LB","Germany","GPFBL","FC Bayern München","Min:700 Max:10000","0","582","7","false","false","239344","false","false","LB,LWB,LM","750"
"Billa","82","Rare","ST","Austria","GPFBL","TSG Hoffenheim","Min:700 Max:10000","0","582","7","false","false","265001","false","false","CF,ST","750"
"Seger","82","Common","CM","Sweden","Sverige Liga","FC Rosengård","Min:350 Max:10000","0","0","7","true","false","226975","false","false","CDM,CM","850"
"Mac Allister","82","Rare","CM","Argentina","Premier League","Liverpool","Min:700 Max:10000","0","0","7","true","false","239837","false","false","CDM,CM,CAM","750"
"Morroni","82","Rare","LB","France","D1 Arkema","OL","Min:700 Max:10000","0","0","7","true","false","256095","false","false","LB,LWB","750"
"Carvajal Ramos","82","Rare","RB","Spain","LALIGA EA SPORTS","Real Madrid","Min:700 Max:10000","0","0","7","true","false","204963","false","false","RWB,RB","750"
"Havertz","82","Rare","CAM","Germany","Premier League","Arsenal","Min:700 Max:10000","0","0","7","true","false","235790","false","false","CAM,RW,ST","750"
"Ünal","82","Rare","ST","Turkey","LALIGA EA SPORTS","Getafe CF","Min:700 Max:10000","0","0","7","true","false","223197","false","false","CF,ST","750"
"Bentancur","82","Rare","CM","Uruguay","Premier League","Spurs","Min:700 Max:10000","0","0","7","true","false","227535","false","false","CDM,CM","750"
"Hatch","82","Rare","ST","United States","NWSL","Washington Spirit","Min:700 Max:10000","0","0","7","true","false","243263","false","false","CAM,CF,ST","750"
"Kovačić","82","Rare","CM","Croatia","Premier League","Manchester City","Min:700 Max:10000","0","0","7","true","false","207410","false","false","CDM,CM","750"
"Thiney","82","Common","CAM","France","D1 Arkema","Paris FC","Min:350 Max:10000","0","0","7","true","false","227326","false","false","CAM,ST","900"
"Palazón Camacho","82","Rare","RM","Spain","LALIGA EA SPORTS","Rayo Vallecano","Min:700 Max:10000","0","0","7","true","false","232498","false","false","RM,RW","750"
"Andrich","82","Rare","CDM","Germany","Bundesliga","Leverkusen","Min:700 Max:10000","0","0","7","true","false","212242","false","false","CDM,CM","750"
"Lohmann","82","Common","CAM","Germany","GPFBL","FC Bayern München","Min:350 Max:10000","0","0","7","true","false","247791","false","false","RM,CAM","1000"
"Savić","82","Common","CB","Montenegro","LALIGA EA SPORTS","Atlético de Madrid","Min:350 Max:10000","0","0","7","true","false","204639","false","false","CB","950"
"Gayà Peña","82","Rare","LB","Spain","LALIGA EA SPORTS","Valencia CF","Min:700 Max:10000","0","0","7","true","false","211688","false","false","LB,LWB","750"
"Dia","82","Rare","ST","Senegal","Serie A TIM","Salernitana","Min:700 Max:10000","0","0","7","true","false","246242","false","false","CF,ST,LW","750"
"En-Nesyri","82","Rare","ST","Morocco","LALIGA EA SPORTS","Sevilla FC","Min:700 Max:10000","0","0","7","true","false","235410","false","false","CF,ST","750"
"Locatelli","82","Rare","CDM","Italy","Serie A TIM","Juventus","Min:700 Max:10000","0","0","7","true","false","222077","false","false","CDM,CM","750"
"Martínez Berridi","82","Rare","CB","Spain","LALIGA EA SPORTS","FC Barcelona","Min:700 Max:10000","0","0","7","true","false","204525","false","false","CB","750"
"Götze","82","Rare","CAM","Germany","Bundesliga","Frankfurt","Min:700 Max:10000","0","0","7","true","false","192318","false","false","LM,CAM,CF","750"
"Rodríguez","82","Rare","CM","Costa Rica","NWSL","Portland Thorns","Min:700 Max:10000","0","0","7","true","false","267226","false","false","CDM,CM,CAM","750"
"Taremi","82","Rare","ST","Iran","Liga Portugal","FC Porto","Min:700 Max:10000","0","0","7","true","false","241788","false","false","CF,ST","750"
"Zaccagni","82","Rare","LW","Italy","Serie A TIM","Latium","Min:700 Max:10000","0","0","7","true","false","220502","false","false","LM,LW","750"
"Reges Mouta","82","Rare","CDM","Brazil","LALIGA EA SPORTS","Sevilla FC","Min:700 Max:10000","0","0","7","true","false","184134","false","false","CB,CDM","750"
"Galán Gil","82","Rare","LB","Spain","LALIGA EA SPORTS","Atlético de Madrid","Min:700 Max:10000","0","0","7","true","false","231591","false","false","LB,LWB","750"
"N. Costa Eduardo","82","Rare","RM","Portugal","Liga Portugal","SL Benfica","Min:700 Max:10000","0","0","7","true","false","212814","false","false","RM,CM,LM,RW","750"
"Jakobsson","82","Rare","LM","Sweden","NWSL","San Diego Wave","Min:700 Max:10000","0","0","7","true","false","226973","false","false","RM,LM,LW","750"
"Périsset","82","Rare","RB","France","Barclays WSL","Chelsea","Min:700 Max:10000","0","0","7","true","false","236428","false","false","RWB,RB,CB,LB","750"
"Camavinga","82","Rare","CDM","France","LALIGA EA SPORTS","Real Madrid","Min:700 Max:10000","0","0","7","true","false","248243","false","false","LB,CDM,CM","1000"
"Mace","82","Rare","LB","United States","NWSL","KC Current","Min:700 Max:10000","0","0","7","true","false","267339","false","false","LB,LWB,LM","750"
"Pereira Gonçalves","82","Rare","LW","Portugal","Liga Portugal","Sporting CP","Min:700 Max:10000","0","0","7","true","false","240950","false","false","CM,LM,RW,LW","750"
"Pawollek","82","Rare","CM","Poland","GPFBL","Frankfurt","Min:700 Max:10000","0","0","7","true","false","50596602","false","false","CDM,CM","750"
"Zelem","82","Rare","CDM","England","Barclays WSL","Manchester Utd","Min:700 Max:10000","0","0","7","true","false","265273","false","false","CDM,CM","750"
"da Luz Horta","82","Rare","CAM","Portugal","Liga Portugal","SC Braga","Min:700 Max:10000","0","0","7","true","false","213516","false","false","CAM,CF,ST","750"
"Gréboval","82","Rare","CB","France","D1 Arkema","Paris FC","Min:700 Max:10000","0","0","7","true","false","241546","false","false","CB","750"
"Kökçü","82","Rare","CM","Turkey","Liga Portugal","SL Benfica","Min:700 Max:10000","0","0","7","true","false","243245","false","false","CM,CAM","750"
"Redondo Ferrer","82","Rare","ST","Spain","Liga F","Levante UD","Min:700 Max:10000","0","0","7","true","false","246774","false","false","CF,RW,ST,LW","1000"
"Rafaelle","82","Rare","CB","Brazil","NWSL","Orlando Pride","Min:700 Max:10000","0","0","7","true","false","227421","false","false","CB","750"
"Livaković","82","Rare","GK","Croatia","Trendyol Süper Lig","Fenerbahçe","Min:700 Max:10000","0","0","7","true","false","241671","false","false","GK","750"
"Joelinton","82","Rare","CM","Brazil","Premier League","Newcastle Utd","Min:700 Max:13000","0","0","7","true","false","223334","false","false","CM,LW","2400"
"Lemar","82","Rare","CM","France","LALIGA EA SPORTS","Atlético de Madrid","Min:700 Max:10000","0","0","7","true","false","213565","false","false","CM,LM","750"
"Molina","82","Rare","RB","Argentina","LALIGA EA SPORTS","Atlético de Madrid","Min:700 Max:10000","0","0","7","true","false","233084","false","false","RWB,RB,RM","750"
"Jónsdóttir","82","Rare","RM","Iceland","GPFBL","VfL Wolfsburg","Min:700 Max:10000","0","0","7","true","false","266384","false","false","RM,RW,ST","750"
"Eizagirre Lasa","82","Rare","LW","Spain","Liga F","Real Sociedad","Min:700 Max:10000","0","0","7","true","false","259334","false","false","LM,CAM,LW","750"
"Baltimore","82","Rare","RW","France","D1 Arkema","Paris SG","Min:700 Max:10000","0","0","7","true","false","261733","false","false","RM,RW,LW","750"
"Sanchez","82","Rare","CAM","United States","NWSL","Washington Spirit","Min:700 Max:10000","0","0","7","true","false","266091","false","false","CAM,ST","750"
"Hagel","82","Rare","CM","Germany","GPFBL","VfL Wolfsburg","Min:700 Max:10000","0","0","7","true","false","264986","false","false","CM,LM","750"
"da Silva Monteiro","82","Rare","RM","Portugal","ROSHN Saudi League","Al Nassr","Min:700 Max:10000","0","0","7","true","false","210411","false","false","RM,LM,RW","750"
"Meireles Costa","82","Rare","GK","Portugal","Liga Portugal","FC Porto","Min:700 Max:10000","0","0","7","true","false","234577","false","false","GK","750"
"Mendy","82","Rare","GK","Senegal","ROSHN Saudi League","Al Ahli","Min:700 Max:10000","0","0","7","true","false","234642","false","false","GK","750"
"Fofana","82","Rare","CM","Ivory Coast","ROSHN Saudi League","Al Nassr","Min:700 Max:10000","0","0","7","true","false","216320","false","false","CM","750"
"Barbosa de Oliveira","82","Rare","CF","Brazil","ROSHN Saudi League","Al Ahli","Min:700 Max:10000","0","0","7","true","false","201942","false","false","CF,ST","750"
"Torreira","82","Rare","CDM","Uruguay","Trendyol Süper Lig","Galatasaray","Min:700 Max:10000","0","0","7","true","false","223959","false","false","CDM,CM","800"
"Provedel","82","Rare","GK","Italy","Serie A TIM","Latium","Min:700 Max:10000","0","0","7","true","false","224987","false","false","GK","750"
"van de Donk","82","Rare","CAM","Netherlands","D1 Arkema","OL","Min:700 Max:10000","0","0","7","true","false","233751","false","false","CM,CAM","750"
"Xhaka","82","Common","CM","Switzerland","Bundesliga","Leverkusen","Min:350 Max:10000","0","0","7","true","false","199503","false","false","CDM,CM","850"
"Lopes","82","Rare","GK","Portugal","Ligue 1 Uber Eats","OL","Min:700 Max:10000","0","0","7","true","false","199482","false","false","GK","750"
"Tsygankov","82","Rare","RM","Ukraine","LALIGA EA SPORTS","Girona FC","Min:700 Max:10000","0","0","7","true","false","244369","false","false","RM,CM,CAM,RW","750"
"Pickford","82","Rare","GK","England","Premier League","Everton","Min:700 Max:10000","0","0","7","true","false","204935","false","false","GK","900"
"Maanum","82","Rare","CM","Norway","Barclays WSL","Arsenal","Min:700 Max:10000","0","0","7","true","false","239761","false","false","CDM,CM,CAM","750"
"Pickett","82","Rare","LB","United States","NWSL","Rac. Louisville","Min:700 Max:10000","0","0","7","true","false","267240","false","false","LB,LWB","750"
"Núñez","82","Rare","ST","Uruguay","Premier League","Liverpool","Min:700 Max:10000","0","0","7","true","false","253072","false","false","CF,ST,LW","4700"
"Mandava","81","Rare","LB","Mozambique","LALIGA EA SPORTS","Atlético de Madrid","Min:650 Max:10000","0","0","7","true","true","236045","false","false","CB,LB,LWB","700"
"David","81","Rare","ST","Canada","Ligue 1 Uber Eats","LOSC Lille","Min:650 Max:10000","0","575","7","false","false","243630","false","false","CF,ST","700"
"Kondogbia","81","Rare","CM","CAR","Ligue 1 Uber Eats","OM","Min:650 Max:10000","0","575","7","false","false","201455","false","false","CDM,CM","850"
"Méndez Portela","81","Rare","CM","Spain","LALIGA EA SPORTS","Real Sociedad","Min:650 Max:10000","0","575","7","false","false","235944","false","false","CM","700"
"Silva de Oliveira","81","Rare","RM","Brazil","ROSHN Saudi League","Al Hilal","Min:650 Max:10000","0","575","7","false","false","222737","false","false","RM,RW","700"
"Porro Sauceda","81","Rare","RB","Spain","Premier League","Spurs","Min:650 Max:10000","0","575","7","false","false","243576","false","false","RWB,RB","700"
"Colaprico","81","Rare","CM","United States","NWSL","San Diego Wave","Min:650 Max:10000","0","575","7","false","false","231736","false","false","CDM,CM","700"
