Player Name,Rating,Quality,Rarity,Position,Nation,League,Club,Price Range,FUTBIN Price,Bought For,Discard Value,Contract Left,IsUntradable,IsLoaned
Yeray,83,Gold,Special,CB,Spain,LaLiga Santander,Athletic Club,Min:10250 Max:32500,28500,0,0,7,true,true,
Unai Simón,83,Gold,RARE,GK,Spain,LaLiga Santander,Athletic Club,Min:800 Max:10000,2000,0,0,7,true,true,
Carlos Soler,83,Gold,RARE,CM,Spain,Ligue 1 Uber Eats,Paris SG,Min:850 Max:10000,2000,0,0,7,true,true,
Piqué,83,Gold,RARE,CB,Spain,LaLiga Santander,FC Barcelona,Min:850 Max:12000,12000,0,750,7,false,false,
Giménez,83,Gold,RARE,CB,Uruguay,LaLiga Santander,Atlético de Madrid,Min:850 Max:10000,2000,0,750,7,false,false,
Carlos Soler,83,Gold,RARE,CM,Spain,Ligue 1 Uber Eats,Paris SG,Min:850 Max:10000,2000,0,0,7,true,false,
Araujo,83,Gold,RARE,CB,Uruguay,LaLiga Santander,FC Barcelona,Min:850 Max:10000,1700,0,0,7,true,false,
Roberto Firmino,83,Gold,RARE,CF,Brazil,Premier League,Liverpool,Min:850 Max:10000,1900,0,0,7,true,false,
Zapata,83,Gold,RARE,ST,Colombia,Serie A TIM,Bergamo Calcio,Min:800 Max:10000,2000,0,0,7,true,false,
David Silva,83,Gold,RARE,CAM,Spain,LaLiga Santander,Real Sociedad,Min:800 Max:10000,1900,0,0,7,true,false,
Baumann,83,Gold,RARE,GK,Germany,Bundesliga,TSG Hoffenheim,Min:800 Max:10000,2000,0,0,7,true,false,
Angeliño,83,Gold,RARE,LWB,Spain,Bundesliga,TSG Hoffenheim,Min:800 Max:10000,1900,0,0,7,true,false,
Rúben Neves,83,Gold,RARE,CM,Portugal,Premier League,Wolves,Min:800 Max:10000,2000,0,0,7,true,false,
Ricardo Pereira,83,Gold,RARE,RB,Portugal,Premier League,Leicester City,Min:800 Max:10000,1900,0,0,7,true,false,
Gakpo,83,Gold,RARE,LW,Netherlands,Eredivisie,PSV,Min:850 Max:10000,4500,0,0,7,true,false,
Højbjerg,83,Gold,RARE,CDM,Denmark,Premier League,Spurs,Min:800 Max:10000,1900,0,0,7,true,false,
Ayew,83,Gold,Special,RW,Ghana,Premier League,Crystal Palace,Min:1000 Max:10000,--NA--,0,0,7,true,false,
Ziyech,83,Gold,RARE,RW,Morocco,Premier League,Chelsea,Min:800 Max:10000,2000,0,0,7,true,false,
Gakpo,83,Gold,RARE,LW,Netherlands,Premier League,Liverpool,Min:850 Max:10000,2300,0,0,7,true,false,
Werner,82,Gold,RARE,ST,Germany,Bundesliga,RB Leipzig,Min:700 Max:10000,2100,2000,580,3,false,false,
Gayà,82,Gold,RARE,LB,Spain,LaLiga Santander,Valencia CF,--NA--,2800,0,0,7,true,false,
Tah,82,Gold,RARE,CB,Germany,Bundesliga,Leverkusen,Min:700 Max:10000,1200,0,0,4,true,true,
Ramsdale,82,Gold,RARE,GK,England,Premier League,Arsenal,Min:700 Max:10000,1100,2600,580,29,false,false,
Schlotterbeck,82,Gold,RARE,CB,Germany,Bundesliga,Borussia Dortmund,Min:700 Max:10000,1600,0,580,18,false,false,
Coates,82,Gold,RARE,CB,Uruguay,Liga Portugal,Sporting CP,Min:700 Max:10000,1300,0,580,7,false,false,
Álex Remiro,82,Gold,RARE,GK,Spain,LaLiga Santander,Real Sociedad,Min:700 Max:10000,1100,0,580,7,false,false,
Coutinho,82,Gold,RARE,CAM,Brazil,Premier League,Aston Villa,Min:700 Max:10000,2300,0,580,7,false,false,
Zaha,82,Gold,RARE,LW,Ivory Coast,Premier League,Crystal Palace,Min:700 Max:10000,1000,0,580,7,false,false,
Gosens,82,Gold,RARE,LWB,Germany,Serie A TIM,Inter,Min:700 Max:10000,950,0,0,7,true,false,
Orban,82,Gold,Common,CB,Hungary,Bundesliga,RB Leipzig,Min:350 Max:10000,1000,0,0,7,true,false,
Iñigo Martínez,82,Gold,RARE,CB,Spain,LaLiga Santander,Athletic Club,Min:700 Max:10000,1300,0,0,7,true,false,
Saka,82,Gold,RARE,RM,England,Premier League,Arsenal,Min:700 Max:10000,1000,0,0,7,true,false,
Tah,82,Gold,RARE,CB,Germany,Bundesliga,Leverkusen,Min:700 Max:10000,1200,0,0,7,true,false,
Isco,82,Gold,RARE,CAM,Spain,LaLiga Santander,Sevilla FC,Min:700 Max:10000,10000,0,0,7,true,false,
David Soria,82,Gold,RARE,GK,Spain,LaLiga Santander,Getafe CF,Min:700 Max:10000,1100,0,0,7,true,false,
Gabriel Paulista,82,Gold,RARE,CB,Brazil,LaLiga Santander,Valencia CF,Min:700 Max:10000,1000,0,0,7,true,false,
Rulli,82,Gold,RARE,GK,Argentina,LaLiga Santander,Villarreal CF,Min:700 Max:10000,6700,0,0,7,true,false,
Payet,82,Gold,RARE,CAM,France,Ligue 1 Uber Eats,OM,Min:700 Max:10000,3300,0,0,7,true,false,
Wirtz,82,Gold,RARE,CAM,Germany,Bundesliga,Leverkusen,Min:700 Max:10000,950,0,0,7,true,false,
Lopes,82,Gold,RARE,GK,Portugal,Ligue 1 Uber Eats,OL,Min:700 Max:10000,900,0,0,7,true,false,
Muriel,82,Gold,RARE,ST,Colombia,Serie A TIM,Bergamo Calcio,Min:1300 Max:25000,1400,0,0,7,true,false,
O'Nien,82,Gold,Special,CDM,England,EFL Championship,Sunderland,Min:11000 Max:95000,--NA--,0,0,7,true,false,
Anderson Talisca,82,Gold,RARE,CF,Brazil,ROSHN Saudi League,Al Nassr,Min:700 Max:10000,900,0,0,7,true,false,
André Silva,82,Gold,RARE,ST,Portugal,Bundesliga,RB Leipzig,Min:700 Max:10000,1100,0,0,7,true,false,
Grimaldo,82,Gold,RARE,LB,Spain,Liga Portugal,SL Benfica,Min:700 Max:10000,7000,0,0,7,true,false,
Lucas Paquetá,82,Gold,RARE,CAM,Brazil,Premier League,West Ham,Min:700 Max:10000,1700,0,0,7,true,false,
Christensen,82,Gold,RARE,CB,Denmark,LaLiga Santander,FC Barcelona,Min:700 Max:10000,900,0,0,7,true,false,
Fabiański,82,Gold,RARE,GK,Poland,Premier League,West Ham,Min:700 Max:10000,850,0,0,7,true,false,
Otávio,82,Gold,RARE,RM,Portugal,Liga Portugal,FC Porto,Min:700 Max:10000,900,0,0,7,true,false,
Núñez,82,Gold,RARE,ST,Uruguay,Premier League,Liverpool,Min:700 Max:10000,1400,0,0,7,true,false,
Dani Olmo,82,Gold,RARE,CAM,Spain,Bundesliga,RB Leipzig,Min:700 Max:10000,1000,0,0,7,true,false,
Abraham,82,Gold,RARE,ST,England,Serie A TIM,Roma FC,Min:700 Max:10000,1100,0,0,7,true,false,
Gordon,82,Gold,Special,LM,England,Premier League,Newcastle Utd,Min:5000 Max:150000,--NA--,0,0,7,true,false,
Tierney,81,Gold,RARE,LB,Scotland,Premier League,Arsenal,--NA--,2700,1000,575,19,false,false,
Pepe,81,Gold,RARE,CB,Portugal,Liga Portugal,FC Porto,Min:650 Max:10000,1500,0,575,7,false,false,
José Sá,81,Gold,RARE,GK,Portugal,Premier League,Wolves,Min:650 Max:10000,800,0,575,6,false,false,
Ndicka,81,Gold,RARE,CB,France,Bundesliga,Frankfurt,Min:950 Max:17000,1200,1200,575,3,false,false,
Vertonghen,81,Gold,RARE,CB,Belgium,1A Pro League,RSC Anderlecht,Min:650 Max:10000,750,0,575,7,false,false,
Areola,81,Gold,RARE,GK,France,Premier League,West Ham,Min:650 Max:10000,1200,0,0,13,true,false,
Le Normand,81,Gold,Common,CB,France,LaLiga Santander,Real Sociedad,Min:350 Max:10000,2600,0,0,7,true,false,
Zambo Anguissa,81,Gold,RARE,CDM,Cameroon,Serie A TIM,Napoli FC,Min:650 Max:60000,800,0,0,7,true,false,
Žulj,81,Gold,Special,CAM,Austria,Ö. Bundesliga,LASK,Min:9900 Max:42500,40500,0,0,7,true,false,
Pope,81,Gold,RARE,GK,England,Premier League,Newcastle Utd,Min:650 Max:10000,1100,0,0,7,true,false,
Pašalić,81,Gold,RARE,CAM,Croatia,Serie A TIM,Bergamo Calcio,Min:650 Max:10000,800,0,0,7,true,false,
Fofana,81,Gold,RARE,CM,Ivory Coast,Ligue 1 Uber Eats,RC Lens,Min:650 Max:10000,1000,0,0,7,true,false,
Konaté,81,Gold,RARE,CB,France,Premier League,Liverpool,Min:1800 Max:32500,1900,0,0,7,true,false,
Tapsoba,81,Gold,RARE,CB,Burkina Faso,Bundesliga,Leverkusen,Min:650 Max:10000,800,0,0,7,true,false,
Ricardo Horta,81,Gold,RARE,CF,Portugal,Liga Portugal,SC Braga,Min:650 Max:10000,800,0,0,7,true,false,
Andrich,81,Gold,RARE,CDM,Germany,Bundesliga,Leverkusen,Min:650 Max:10000,1100,0,0,7,true,false,
Demirbay,81,Gold,RARE,CM,Germany,Bundesliga,Leverkusen,Min:650 Max:10000,1300,0,0,7,true,false,
Tagliafico,81,Gold,RARE,LB,Argentina,Ligue 1 Uber Eats,OL,Min:650 Max:10000,2600,0,0,7,true,false,
Phillips,81,Gold,RARE,CDM,England,Premier League,Manchester City,Min:650 Max:10000,3200,0,0,7,true,false,
Neto,81,Gold,RARE,GK,Brazil,Premier League,AFC Bournemouth,Min:650 Max:10000,900,0,0,7,true,false,
Lobotka,81,Gold,RARE,CM,Slovakia,Serie A TIM,Napoli FC,Min:650 Max:10000,950,0,0,7,true,false,
Savanier,81,Gold,RARE,CAM,France,Ligue 1 Uber Eats,Montpellier,Min:650 Max:10000,2800,0,0,7,true,false,
Akanji,81,Gold,RARE,CB,Switzerland,Premier League,Manchester City,Min:650 Max:10000,2400,0,0,7,true,false,
Upamecano,81,Gold,RARE,CB,France,Bundesliga,FC Bayern München,Min:650 Max:10000,1800,0,0,7,true,false,
Musso,81,Gold,RARE,GK,Argentina,Serie A TIM,Bergamo Calcio,Min:650 Max:10000,800,0,0,7,true,false,
Rafael Tolói,81,Gold,RARE,CB,Italy,Serie A TIM,Bergamo Calcio,Min:650 Max:10000,1300,0,0,7,true,false,
Lucas Vázquez,81,Gold,RARE,RB,Spain,LaLiga Santander,Real Madrid,Min:650 Max:10000,1700,0,0,7,true,false,
Barák,81,Gold,RARE,CF,Czech Republic,Serie A TIM,Fiorentina,Min:650 Max:10000,750,0,0,7,true,false,
Marc Bartra,81,Gold,RARE,CB,Spain,Süper Lig,Trabzonspor,Min:650 Max:10000,1000,0,0,7,true,false,
Raum,81,Gold,RARE,LWB,Germany,Bundesliga,RB Leipzig,Min:650 Max:10000,800,0,0,7,true,false,
Pedro Porro,81,Gold,RARE,RWB,Spain,Liga Portugal,Sporting CP,Min:650 Max:10000,2900,0,0,7,true,false,
Hofmann,81,Gold,RARE,CAM,Germany,Bundesliga,M'gladbach,Min:650 Max:10000,800,0,0,7,true,false,
Tolisso,81,Gold,RARE,CM,France,Ligue 1 Uber Eats,OL,Min:650 Max:45000,1800,0,0,7,true,false,
Musiala,81,Gold,RARE,CM,Germany,Bundesliga,FC Bayern München,Min:650 Max:10000,1100,0,0,7,true,false,
Keïta,81,Gold,RARE,CM,Guinea,Premier League,Liverpool,Min:650 Max:10000,900,0,0,7,true,false,
Frimpong,80,Gold,RARE,RB,Netherlands,Bundesliga,Leverkusen,Min:650 Max:10000,4400,1100,570,19,false,false,
Morata,80,Gold,RARE,ST,Spain,LaLiga Santander,Atlético de Madrid,Min:650 Max:10000,3700,0,570,7,false,false,
Çakır,80,Gold,RARE,GK,Turkey,Süper Lig,Trabzonspor,Min:650 Max:10000,750,0,570,7,false,false,
Álvarez,80,Gold,RARE,CDM,Mexico,Eredivisie,Ajax,Min:650 Max:10000,700,0,570,7,false,false,
Consigli,80,Gold,Common,GK,Italy,Serie A TIM,Sassuolo,Min:350 Max:10000,900,0,284,7,false,false,
Capoue,80,Gold,Common,CM,France,LaLiga Santander,Villarreal CF,Min:350 Max:10000,1900,0,284,7,false,false,
Arnold,80,Gold,Common,CDM,Germany,Bundesliga,VfL Wolfsburg,Min:350 Max:10000,2000,0,0,7,true,false,
José Fonte,80,Gold,Common,CB,Portugal,Ligue 1 Uber Eats,LOSC Lille,Min:350 Max:10000,1900,0,0,7,true,false,
Isak,80,Gold,RARE,ST,Sweden,Premier League,Newcastle Utd,Min:650 Max:10000,1000,0,0,7,true,false,
Ospina,80,Gold,RARE,GK,Colombia,ROSHN Saudi League,Al Nassr,Min:650 Max:10000,700,0,0,7,true,false,
Edgar Badia,80,Gold,Common,GK,Spain,LaLiga Santander,Elche CF,Min:350 Max:10000,1000,0,0,7,true,false,
Mignolet,80,Gold,RARE,GK,Belgium,1A Pro League,Club Brugge,Min:650 Max:10000,700,0,0,7,true,false,
Benítez,80,Gold,RARE,GK,Argentina,Eredivisie,PSV,Min:650 Max:10000,800,0,0,7,true,false,
Wijnaldum,80,Gold,RARE,CM,Netherlands,Serie A TIM,Roma FC,Min:650 Max:10000,2000,0,0,7,true,false,
Ortega,80,Gold,RARE,GK,Germany,Premier League,Manchester City,Min:650 Max:10000,2200,0,0,7,true,false,
Hateboer,80,Gold,RARE,RWB,Netherlands,Serie A TIM,Bergamo Calcio,Min:650 Max:10000,700,0,0,7,true,false,
Clauss,80,Gold,RARE,RWB,France,Ligue 1 Uber Eats,OM,Min:650 Max:10000,1100,0,0,7,true,false,
Dahoud,80,Gold,Common,CM,Germany,Bundesliga,Borussia Dortmund,Min:350 Max:10000,1800,0,0,7,true,false,
Lafont,80,Gold,RARE,GK,France,Ligue 1 Uber Eats,FC Nantes,Min:650 Max:10000,1100,0,0,7,true,false,
Timber,80,Gold,RARE,CB,Netherlands,Eredivisie,Ajax,Min:650 Max:55000,1400,0,0,7,true,false,
Buendía,80,Gold,Common,RM,Argentina,Premier League,Aston Villa,Min:350 Max:10000,500,0,0,7,true,false,
Calabria,80,Gold,RARE,RB,Italy,Serie A TIM,Milan,Min:650 Max:10000,1600,0,0,7,true,false,
Karsdorp,80,Gold,RARE,RWB,Netherlands,Serie A TIM,Roma FC,Min:650 Max:10000,700,0,0,7,true,false,
Aguerd,80,Gold,RARE,CB,Morocco,Premier League,West Ham,Min:650 Max:10000,1000,0,0,7,true,false,
Baku,80,Gold,RARE,RM,Germany,Bundesliga,VfL Wolfsburg,Min:650 Max:10000,1200,0,0,7,true,false,
Sabitzer,80,Gold,RARE,CM,Austria,Bundesliga,FC Bayern München,Min:650 Max:10000,3900,0,0,7,true,false,
Günter,80,Gold,RARE,LB,Germany,Bundesliga,SC Freiburg,Min:650 Max:10000,2900,0,0,7,true,false,
Guendouzi,80,Gold,RARE,CM,France,Ligue 1 Uber Eats,OM,Min:650 Max:60000,1300,0,0,7,true,false,
Hazard,80,Gold,RARE,LM,Belgium,Bundesliga,Borussia Dortmund,Min:650 Max:10000,8000,0,0,7,true,false,
Darmian,80,Gold,Common,RWB,Italy,Serie A TIM,Inter,Min:350 Max:10000,950,0,0,7,true,false,
Jonathan Viera,80,Gold,RARE,CAM,Spain,LaLiga SmartBank,UD Las Palmas,Min:650 Max:25000,1100,0,0,7,true,false,
Sels,79,Gold,Common,GK,Belgium,Ligue 1 Uber Eats,Strasbourg,Min:350 Max:10000,600,0,280,7,false,false,
Estupiñán,79,Gold,Common,LB,Ecuador,Premier League,Brighton,Min:350 Max:10000,3400,0,280,7,false,false,
Malen,79,Gold,RARE,ST,Netherlands,Bundesliga,Borussia Dortmund,Min:650 Max:10000,1900,0,560,4,false,false,
Szoboszlai,79,Gold,RARE,CAM,Hungary,Bundesliga,RB Leipzig,Min:650 Max:10000,750,0,560,7,false,false,
Diogo Costa,79,Gold,Common,GK,Portugal,Liga Portugal,FC Porto,Min:350 Max:10000,1000,0,280,7,false,false,
Tarkowski,79,Gold,Common,CB,England,Premier League,Everton,Min:350 Max:10000,900,0,280,7,false,false,
Weghorst,79,Gold,Common,ST,Netherlands,Süper Lig,Beşiktaş,Min:350 Max:10000,4500,0,280,7,false,false,
Montiel,79,Gold,RARE,RB,Argentina,LaLiga Santander,Sevilla FC,Min:650 Max:10000,3500,0,0,3,true,false,
Pedro,79,Gold,Common,LW,Spain,Serie A TIM,Latium,Min:350 Max:10000,400,0,0,7,true,false,
Milik,79,Gold,Common,ST,Poland,Serie A TIM,Juventus,Min:350 Max:10000,800,0,0,7,true,false,
Zaccagni,79,Gold,Common,LW,Italy,Serie A TIM,Latium,Min:350 Max:10000,600,0,0,7,true,false,
Kökçü,79,Gold,Common,CM,Turkey,Eredivisie,Feyenoord,Min:350 Max:10000,800,0,0,7,true,false,
Ismaily,79,Gold,RARE,LB,Brazil,Ligue 1 Uber Eats,LOSC Lille,Min:650 Max:10000,1100,0,0,7,true,false,
Xhaka,79,Gold,Common,CDM,Switzerland,Premier League,Arsenal,Min:350 Max:10000,400,0,0,7,true,false,
Özcan,79,Gold,RARE,CDM,Turkey,Bundesliga,Borussia Dortmund,Min:650 Max:11000,700,0,0,7,true,false,
Kim Min Jae,79,Gold,RARE,CB,Korea Republic,Serie A TIM,Napoli FC,Min:600 Max:50000,1800,0,0,7,true,false,
Dia,79,Gold,Common,ST,Senegal,Serie A TIM,Salernitana,Min:350 Max:10000,450,0,0,7,true,false,
Stanciu,79,Gold,RARE,CM,Romania,CSL,Wuhan 3 Towns,Min:650 Max:10000,700,0,0,7,true,false,
Luis Milla,79,Gold,RARE,CDM,Spain,LaLiga Santander,Getafe CF,Min:650 Max:10000,1500,0,0,7,true,false,
Reinildo,79,Gold,Common,LB,Mozambique,LaLiga Santander,Atlético de Madrid,Min:350 Max:10000,1300,0,0,7,true,false,
Bellarabi,79,Gold,RARE,RM,Germany,Bundesliga,Leverkusen,Min:650 Max:10000,700,0,0,7,true,false,
Gouiri,79,Gold,RARE,ST,France,Ligue 1 Uber Eats,Stade Rennais FC,Min:650 Max:10000,1400,0,0,7,true,false,
Matheus Reis,79,Gold,RARE,CB,Brazil,Liga Portugal,Sporting CP,Min:650 Max:10000,750,0,0,7,true,false,
Doucouré,79,Gold,Common,CM,Mali,Premier League,Everton,Min:350 Max:10000,1000,0,0,7,true,false,
Gudelj,79,Gold,Common,CDM,Serbia,LaLiga Santander,Sevilla FC,Min:350 Max:10000,500,0,0,7,true,false,
Marcão,79,Gold,RARE,CB,Brazil,LaLiga Santander,Sevilla FC,Min:650 Max:10000,800,0,0,7,true,false,
Rakitskyi,79,Gold,RARE,CB,Ukraine,Süper Lig,Adana Demirspor,Min:650 Max:10000,1200,0,0,7,true,false,
David Neres,79,Gold,RARE,RW,Brazil,Liga Portugal,SL Benfica,Min:650 Max:10000,750,0,0,7,true,false,
Lazzari,79,Gold,RARE,RB,Italy,Serie A TIM,Latium,Min:650 Max:10000,3800,0,0,7,true,false,
Fofana,79,Gold,RARE,CB,France,Premier League,Chelsea,Min:650 Max:10000,950,0,0,7,true,false,
Golovin,79,Gold,RARE,LM,Russia,Ligue 1 Uber Eats,AS Monaco,Min:650 Max:10000,700,0,0,7,true,false,
Ávila,79,Gold,RARE,ST,Argentina,LaLiga Santander,CA Osasuna,Min:650 Max:10000,1300,0,0,7,true,false,
João Mário,79,Gold,Common,CM,Portugal,Liga Portugal,SL Benfica,Min:350 Max:10000,2500,0,0,7,true,false,
Diego López,79,Gold,Common,GK,Spain,LaLiga Santander,Rayo Vallecano,Min:350 Max:10000,800,0,0,7,true,false,
Marchesín,79,Gold,Common,GK,Argentina,LaLiga Santander,RC Celta,Min:350 Max:10000,550,0,0,7,true,false,
